mileage,dealer,location,price,make,website
"615,030 mi",Arrow Truck Sales,"Tampa, FL","$79,950",2019 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2019/ee-listing-42176495
"393,000 mi",Bruckner Truck Sales,"Amarillo, TX","$24,900",2005 MACK CX613,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/cx613-2005/ee-listing-42152415
"540,585 mi",Arrow Truck Sales,"Converse, TX","$92,950",2018 PETERBILT 567,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/567-2018/ee-listing-42084323
"513,806 mi",Arrow Truck Sales,"Fontana, CA","$69,950",2018 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2018/ee-listing-42109922
"340,483 mi",Arrow Truck Sales,"French Camp, CA","$99,950",2019 FREIGHTLINER CASCADEVO1,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2019/ee-listing-42165539
"552,534 mi",Schneider,"North Baltimore, OH","$58,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184198
"431,849 mi",Freightliner of Grand Rapids,"Grand Rapids, MI","$84,900",2017 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42177828
"578,811 mi",Bergey's Truck Centers,"Carlisle, PA","$27,900",2015 Mack PINNACLE CXU612,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/pinnaclecxu612-2015/ee-listing-42138082
"418,240 mi",Thompson Truck Center,"La Vergne, TN","$89,500",2018 KENWORTH T880,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t880-2018/ee-listing-42142702
"378,530 mi",Thompson Truck Center,"La Vergne, TN","$89,500",2018 KENWORTH T880,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t880-2018/ee-listing-42142704
"407,110 mi",Kenworth of Louisiana,"Gray, LA","$95,500",2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42158815
"153,000 mi",DRS Truck Sales Inc,"North Bergen, NJ","$129,900",2020 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42171911
"522,307 mi",Arrow Truck Sales,"Converse, TX","$29,950",2016 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2016/ee-listing-42157041
"502,400 mi",Doggett Freightliner,"North Little Rock, AR","$39,900",2015 International ProStar,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2015/ee-listing-42164734
"787,685 mi",Schneider,"Atlanta, GA","$37,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183908
"485,803 mi",Schneider,"Gary, IN","$56,500",2017 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42136421
"877,000 mi",Bruckner Truck Sales,"Pottsville, AR","$89,000",2009 PETERBILT 388,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/388-2009/ee-listing-41992219
"669,777 mi",Schneider,"Indianapolis, IN","$46,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183891
"324,614 mi",Kenworth of Louisiana,"Gray, LA",Call For Price,2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42041242
"37,672 mi",Steve England Truck Sales Inc,"Searcy, AR","$145,000",2012 PETERBILT 367,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/367-2012/ee-listing-42110216
"200,084 mi",Trux and Equipment,"Seville, OH","$149,500",2021 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2021/ee-listing-42171977
"385,568 mi",Diamond Truck Sales Inc,"Bakersfield, CA","$72,900",2020 INTERNATIONAL LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2020/ee-listing-42170494
