mileage,dealer,location,price,make,website
"357,391 mi",International Used Truck Center,"Charlotte, NC","$84,625",2018 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2018/ee-listing-42140026
"637,878 mi",Arrow Truck Sales,"Maple Shade, NJ","$49,950",2016 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2016/ee-listing-42143724
"638,343 mi",Schneider,"Phoenix, AZ","$51,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184089
"475,140 mi",Arrow Truck Sales,"Kansas City, MO","$64,950",2016 VOLVO VNL300,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl300-2016/ee-listing-42083360
"599,715 mi",Freightliner of Grand Rapids,"Grand Rapids, MI","$107,900",2020 FREIGHTLINER CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2020/ee-listing-42118950
"550,814 mi",Arrow Truck Sales,"Cincinnati, OH","$92,950",2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42133491
"475,176 mi",Doggett Freightliner,"North Little Rock, AR","$90,900",2019 Peterbilt 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42135120
"545,801 mi",International Used Truck Center,"Etna, OH","$75,875",2018 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2018/ee-listing-42140159
"571,947 mi",Schneider,"Indianapolis, IN","$55,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183882
"247,184 mi",West Michigan International,"Grand Rapids, MI","$69,900",2017 Freightliner M2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2-2017/ee-listing-42154231
"471,571 mi",Arrow Truck Sales,"Fresno, CA","$99,950",2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42113225
"600,880 mi",SelecTrucks of Atlanta,"McDonough, GA","$74,900",2016 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42122329
"449,670 mi",Arrow Truck Sales,"Elizabeth, NJ","$94,950",2019 FREIGHTLINER CASCADEVO1,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2019/ee-listing-42132468
"725,539 mi",Schneider,"North Baltimore, OH","$41,500",2017 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42139423
"579,971 mi",Arrow Truck Sales,"Cincinnati, OH","$49,950",2015 MACK CXU613,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/cxu613-2015/ee-listing-42156418
"487,325 mi",Schneider,"Carlisle, PA","$56,500",2017 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42143061
null,Repocast,"Byron Center, MI",Call For Price,2012 Volvo VNL64T,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t-2012/ee-listing-42176699
"624,698 mi",Arrow Truck Sales,"Converse, TX","$67,950",2018 VOLVO VNL670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl670-2018/ee-listing-42139039
"547,993 mi",Schneider,"West Memphis, AR","$61,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184185
"321,913 mi",Arrow Truck Sales,"Conley, GA","$69,950",2016 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42099170
"125,000 mi",DRS Truck Sales Inc,"North Bergen, NJ","$54,900",2013 VOLVO VNL64T300,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t300-2013/ee-listing-42171905
"345,000 mi",International Used Truck Center,"Shreveport, LA","$94,500",2019 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2019/ee-listing-42140168
"425,499 mi",International Used Truck Center,"Kansas City, MO","$97,500",2019 Kenworth Motor Truck Co. T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworthmotortruckco/t680-2019/ee-listing-42141305
"490,007 mi",Arrow Truck Sales,"Tampa, FL","$84,950",2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42074956
"380,949 mi",International Used Truck Center,"Baltimore, MD","$78,875",2018 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2018/ee-listing-42169853
"916,999 mi",Arrow Truck Sales,"Elizabeth, NJ",Call For Price,2018 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42164603
"631,007 mi",Arrow Truck Sales,"Kansas City, MO","$62,950",2018 VOLVO VNL670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl670-2018/ee-listing-42114700
"488,477 mi",International Used Truck Center,"Etna, OH","$78,875",2018 Freightliner Corp. CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightlinercorp/cascadia-2018/ee-listing-42184332
"387,858 mi",International Used Truck Center,"Philadelphia, PA","$60,250",2016 International PROSTAR+ 122 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar1226x4-2016/ee-listing-42007424
"548,000 mi",West Michigan International,"Grand Rapids, MI","$69,900",2018 International LT625,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt625-2018/ee-listing-42170575
"536,360 mi",Arrow Truck Sales,"Elizabeth, NJ","$64,950",2018 VOLVO VNL630,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl630-2018/ee-listing-42132459
"536,856 mi",Arrow Truck Sales,"Elizabeth, NJ","$79,950",2018 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42118796
"453,893 mi",JX Truck Center,"Bolingbrook, IL","$87,900",2019 FREIGHTLINER Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2019/ee-listing-42185600
"541,905 mi",Schneider,"Carlisle, PA","$60,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183890
"461,610 mi",Arrow Truck Sales,"Bolingbrook, IL","$44,950",2013 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2013/ee-listing-42157039
"404,802 mi",JX Truck Center,"Rockford, IL","$99,900",2020 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2020/ee-listing-42176870
"323,342 mi",Dobbs Peterbilt,"West Memphis, AR","$114,950",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42170568
"473,346 mi",JX Truck Center,"Pewaukee, WI","$84,900",2018 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42176819
"101,036 mi","Iron Dogs Equipment Sales, LLC","Union City, TN","$35,000",2015 INTERNATIONAL WORKSTAR 7400,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/workstar7400-2015/ee-listing-42145028
"663,110 mi",Arrow Truck Sales,"Conley, GA","$66,156",2017 FREIGHTLINER CASCADIA EVOLUTION,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadiaevolution-2017/ee-listing-42129158
"414,543 mi",Arrow Truck Sales,"Conley, GA","$94,950",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42094643
"592,312 mi",Arrow Truck Sales,"Houston, TX","$74,950",2018 VOLVO VNL670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl670-2018/ee-listing-42076504
"452,639 mi",JX Truck Center,"Pewaukee, WI","$79,900",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42177936
"272,665 mi",The Peterbilt Store,"Davie, FL","$74,900",2015 Peterbilt 337,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/337-2015/ee-listing-42144513
"577,127 mi",Arrow Truck Sales,"Fontana, CA","$39,950",2015 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2015/ee-listing-42177653
"549,600 mi",Schneider,"Edwardsville, IL","$60,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184030
"579,249 mi",Schneider,"Charlotte, NC","$57,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184188
"380,345 mi",Arrow Truck Sales,"Phoenix, AZ","$106,950",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42048746
"537,333 mi",Arrow Truck Sales,"Fontana, CA","$74,950",2017 VOLVO VNL670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl670-2017/ee-listing-42106998
"569,577 mi",Arrow Truck Sales,"Dallas, TX","$64,950",2017 VOLVO VNL630,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl630-2017/ee-listing-42108674
"646,937 mi",Arrow Truck Sales,"Conley, GA","$69,350",2017 FREIGHTLINER CASCADIA EVOLUTION,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadiaevolution-2017/ee-listing-42129123
"435,000 mi",International Used Truck Center,"Romulus, MI","$84,900",2020 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2020/ee-listing-42176572
null,Western Truck Center of West Sacramento,"West Sacramento, CA","$89,950",2019 VOLVO VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42183237
"518,692 mi",JX Truck Center,"Pewaukee, WI","$69,900",2017 FREIGHTLINER Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42176891
"620,489 mi",Arrow Truck Sales,"French Camp, CA","$84,950",2019 FREIGHTLINER CASCADEVO1,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2019/ee-listing-42100246
"481,851 mi",Arrow Truck Sales,"Bolingbrook, IL","$69,950",2017 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42134964
"731,058 mi",TSI Truck Sales,"Lake Wales, FL","$73,900",FREIGHTLINER CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126/ee-listing-42165607
"645,510 mi",Schneider,"West Memphis, AR","$51,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184154
"703,979 mi",Dobbs Peterbilt,"West Memphis, AR","$64,950",2017 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2017/ee-listing-42144589
null,Bruckner Truck Sales,"Dallas, TX",Call For Price,2018 MACK GU813,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/gu813-2018/ee-listing-42138390
"423,004 mi",Schneider,"Portland, OR","$48,500",2016 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42151396
"412,666 mi",Schneider,"Obetz, OH","$53,500",2017 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42171683
"350,771 mi",International Used Truck Center,"Philadelphia, PA","$94,750",2019 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2019/ee-listing-42140149
"379,593 mi",Doggett Freightliner,"North Little Rock, AR","$94,900",2018 Freightliner Cascadia 116,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia116-2018/ee-listing-42115442
"177,409 mi",Arrow Truck Sales,"Kansas City, MO","$69,950",2018 INTERNATIONAL 4300,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/4300-2018/ee-listing-42111185
"575,560 mi",Schneider,"Gary, IN","$42,000",2016 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42153514
"467,907 mi",Tri-State Truck Center Inc,"Memphis, TN","$49,995",2012 Mack CXU613,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/cxu613-2012/ee-listing-42144637
"577,675 mi",Schneider,"Gary, IN","$49,000",2017 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42183837
"500,567 mi",International Used Truck Center,"Indianapolis, IN","$76,125",2018 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2018/ee-listing-42169852
"288,108 mi",International Used Truck Center,"Philadelphia, PA","$93,375",2018 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2018/ee-listing-42140051
"644,445 mi",Thompson Truck Center,"La Vergne, TN","$72,900",2017 FREIGHTLINER CASCADIA 125 EVOLUTION,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125evolution-2017/ee-listing-42142696
"171,317 mi",International Used Truck Center,"Indianapolis, IN","$83,000",2019 International 4300 SBA 4X2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/4300sba4x2-2019/ee-listing-42164794
"574,935 mi",Thompson Truck Center,"Memphis, TN","$102,950",2019 VOLVO VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42142706
"499,403 mi",JX Truck Center,"Wadsworth, IL","$79,900",2018 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42176773
"495,000 mi",Bruckner Truck Sales,"Oklahoma City, OK",Call For Price,2019 Volvo VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42178945
"743,666 mi",Diamond Truck Sales Inc,"Gaffney, SC","$62,900",2020 FREIGHTLINER CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2020/ee-listing-42170481
"286,450 mi",Crook Motor Company,"Albemarle, NC","$74,750",2015 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2015/ee-listing-42144542
"431,194 mi",Doggett Freightliner,"North Little Rock, AR","$119,900",2020 Freightliner Cascadia 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2020/ee-listing-42115481
"604,753 mi",Arrow Truck Sales,"Conley, GA","$69,350",2017 FREIGHTLINER CASCADIA EVOLUTION,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadiaevolution-2017/ee-listing-42129148
"457,730 mi",Schneider,"Edwardsville, IL","$64,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184155
"323,342 mi",Dobbs Peterbilt,"West Memphis, AR","$79,950",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42183224
"533,646 mi",Schneider,"Gary, IN","$60,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184139
"592,428 mi",Schneider,"Atlanta, GA","$50,500",2017 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42183852
"474,849 mi",IState Truck Center,"Sioux City, IA","$44,900",2015 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2015/ee-listing-42183208
"144,000 mi",International Used Truck Center,"Conley, GA","$61,900",2018 International 4300 SBA 4X2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/4300sba4x2-2018/ee-listing-42101364
"473,346 mi",Thompson Truck Center,"La Vergne, TN","$94,500",2018 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2018/ee-listing-42142690
"705,000 mi",DRS Truck Sales Inc,"North Bergen, NJ","$47,900",2015 VOLVO VNL64T670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t670-2015/ee-listing-42171919
"387,321 mi",International Used Truck Center,"Charlotte, NC","$93,000",2019 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2019/ee-listing-42140195
"631,012 mi",Schneider,"Gary, IN","$39,500",2016 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42165613
"495,815 mi",Arrow Truck Sales,"Elizabeth, NJ","$84,950",2018 FREIGHTLINER CASCADEVO1,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2018/ee-listing-42136004
"475,730 mi",Freightliner of Grand Rapids,"Grand Rapids, MI","$109,900",2021 FREIGHTLINER CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2021/ee-listing-42118949
"762,465 mi",Bruckner Truck Sales,"Commerce City, CO",Call For Price,2016 VOLVO VNL780,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl780-2016/ee-listing-42164820
"370,000 mi",Bruckner Truck Sales,"Pottsville, AR","$79,500",2014 VOLVO VHD84FT200,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vhd-2014/ee-listing-42179640
"618,717 mi",Arrow Truck Sales,"Troy, IL","$64,950",2017 VOLVO VNL630,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl630-2017/ee-listing-42084327
"453,041 mi",Jordan Truck Sales of Texas LLC,"Rhome, TX","$62,000",2017 FREIGHTLINER CASCADIA 113,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia113-2017/ee-listing-42158794
"409,172 mi",JX Truck Center,"Elmhurst, IL","$94,900",2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42176818
"641,750,547,662 mi",Tri-State Truck Center Inc,"Richland, MS",Call For Price,2017 Mack CXU613,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/cxu613-2017/ee-listing-42184414
"525,739 mi",IState Truck Center,"Sioux City, IA","$66,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183205
"508,931 mi",Arrow Truck Sales,"Strafford, MO","$74,950",2018 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42142460
"214,000 mi",Crook Motor Company,"Albemarle, NC","$89,750",2017 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2017/ee-listing-42144539
"642,224 mi",Affinity Truck Center,"Fresno, CA","$89,500",2019 VOLVO VNL 760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2019/ee-listing-42065541
"488,994 mi",International Used Truck Center,"La Vergne, TN","$79,875",2018 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2018/ee-listing-42141287
"490,461 mi",Arrow Truck Sales,"Phoenix, AZ","$84,950",2018 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42116485
"335,595 mi",International Used Truck Center,"Fontana, CA","$115,000",2020 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2020/ee-listing-42164787
"496,384 mi",Schneider,"Gary, IN","$66,000",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184210
"499,740 mi",Dobbs Peterbilt,"West Memphis, AR","$69,950",2019 INTERNATIONAL LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2019/ee-listing-42158319
"523,515 mi",Brookside Equipment Sales Inc,"Phillipston, MA","$33,500",1997 MACK RD688S,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/rd688s-1997/ee-listing-42144479
"385,695 mi",WE Sales,"Fargo, ND","$82,900",2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42171987
"638,519 mi",Arrow Truck Sales,"Phoenix, AZ","$86,950",2018 FREIGHTLINER CASCADEVO1,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2018/ee-listing-42139049
"312,740 mi",International Used Truck Center,"Baltimore, MD","$100,750",2019 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2019/ee-listing-42140185
"440,266 mi",Fyda Freightliner,"West Jefferson, OH",Call For Price,2019 Freightliner CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-41992268
"536,758 mi",Arrow Truck Sales,"Elizabeth, NJ","$67,950",2017 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42129838
"570,602 mi",Schneider,"Charlotte, NC","$55,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183924
"537,221 mi",Arrow Truck Sales,"Maple Shade, NJ","$56,950",2018 FREIGHTLINER CASCADIA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42165532
"335,450 mi",International Used Truck Center,"Romulus, MI","$89,900",2019 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2019/ee-listing-42160988
"323,691 mi",Brookside Equipment Sales Inc,"Phillipston, MA","$129,500",2016 WESTERN STAR 4700,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/western-star/4700-2016/ee-listing-42144489
"739,629 mi",Diamond Truck Sales Inc,"Gaffney, SC","$49,900",2018 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2018/ee-listing-42170474
"360,231 mi",Truck and Van Outlet,"Miami, FL","$47,995",2016 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2016/ee-listing-42122190
"504,224 mi",Arrow Truck Sales,"Conley, GA","$84,950",2019 MACK ANTHEM,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/anthem-2019/ee-listing-42159508
"870,999 mi",Arrow Truck Sales,"Elizabeth, NJ",Call For Price,2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42164609
"358,835 mi",International Used Truck Center,"Joliet, IL","$66,125",2017 Volvo VNL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvoinc/vnl-2017/ee-listing-42140033
"347,090 mi",WE Sales,"Fargo, ND","$79,900",2009 KENWORTH T800,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t800-2009/ee-listing-42171997
"445,132 mi",Schneider,"Houston, TX","$67,700",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183845
"659,567 mi",Freightliner of Grand Rapids,"Grand Rapids, MI","$74,900",2019 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2019/ee-listing-42127972
"447,609 mi",Arrow Truck Sales,"French Camp, CA","$99,950",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42103450
"574,325 mi",Arrow Truck Sales,"Dallas, TX","$76,650",2018 FREIGHTLINER CASCADIA EVOLUTION,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadiaevolution-2018/ee-listing-42129137
"520,589 mi",International Used Truck Center,"Baltimore, MD","$77,125",2018 International LT625 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt6256x4-2018/ee-listing-42140102
"474,169 mi",Freightliner of Grand Rapids,"Grand Rapids, MI","$106,900",2018 FREIGHTLINER CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2018/ee-listing-42129450
"532,367 mi",Wichita Kenworth,"Park City, KS","$89,900",2019 FREIGHTLINER CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42139238
"573,725 mi",Arrow Truck Sales,"Elizabeth, NJ","$76,650",2018 FREIGHTLINER CASCADIA EVOLUTION,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadiaevolution-2018/ee-listing-42129195
"571,575 mi",Schneider,"Edwardsville, IL","$55,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184144
"534,163 mi",Thompson Truck Center,"Memphis, TN","$103,700",2019 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42142699
"500,074 mi",Doggett Freightliner,"North Little Rock, AR","$99,900",2019 Freightliner Cascadia 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42159650
"440,679 mi",Freightliner of Grand Rapids,"Grand Rapids, MI","$89,900",2017 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2017/ee-listing-42118956
"577,169 mi",Diamond Truck Sales Inc,"Fort Worth, TX","$62,900",2019 INTERNATIONAL LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2019/ee-listing-42170507
"598,929 mi",Schneider,"West Memphis, AR","$57,200",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42184100
"260,693 mi",International Used Truck Center,"Shreveport, LA","$65,900",2018 International 4300 SBA 4X2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/4300sba4x2-2018/ee-listing-42112375
